,0:B,1:B.1.1.7,2:AY.X,3:BA.1.X,4:BA.1.X+BA.2.X,5:BA.2.X,6:BA.5.X+BA.4.X,7:BQ.1.X,8:XBB.1.5.X+XBB.1.16.X,9:BN.1.X,10:EG.5.X+HV.1.X,11:HK.3.X+JD.1.X,12:JN.1.X+JN.1.4.X,13:KP.3.X+XEC.X
0:B,0.09855000213105757,0.1257719732591947,0.13481334410779558,0.35746644401298355,0.24029719967233806,0.4583743757745007,0.6147446389200993,0.6885627943882067,0.7232888406109251,0.739315982149862,0.8215568500868858,0.7903602819053224,0.8439146428152541,0.9579448142745838
1:B.1.1.7,0.1257719732591947,0.05825389949263052,0.17005781128686714,0.3017510359365893,0.24292772049705763,0.39045870853985337,0.5606050218040555,0.6389878023308961,0.6636702249413721,0.6692891966459521,0.7723626602582419,0.740485826968496,0.7898235495748505,0.9341777398319001
2:AY.X,0.13481334410779558,0.17005781128686714,0.06645793625702263,0.31316024388224084,0.22220617742564844,0.4027380563214601,0.535305279892558,0.6244079438199961,0.6702433708964212,0.7032359029284869,0.7566606481161814,0.7427109475779416,0.7903671570768843,0.9262533284675614
3:BA.1.X,0.3574664440129836,0.3017510359365893,0.31316024388224084,0.1300928563690014,0.25505851778912464,0.2798105104945917,0.4106857578841794,0.47059352841892454,0.5428312271203654,0.5436427580893259,0.638427766645964,0.5949707084195888,0.6196286663473282,0.7764021316260743
4:BA.1.X+BA.2.X,0.24029719967233806,0.24292772049705763,0.22220617742564847,0.2550585177891246,0.13307897378310532,0.27874668627992577,0.42767325205552487,0.5026015906890285,0.5331886466833582,0.5300307138964171,0.6461407853977669,0.613555069539546,0.6533130449651571,0.8125147778423738
5:BA.2.X,0.4583743757745007,0.39045870853985337,0.4027380563214601,0.27981051049459177,0.2787466862799257,0.12450372658418637,0.19485748074124526,0.2694124843244136,0.32216251772393284,0.3065498949351388,0.42293373888301833,0.37315924582712445,0.4199153363118109,0.5665741243115082
6:BA.5.X+BA.4.X,0.6147446389200992,0.5606050218040556,0.5353052798925583,0.4106857578841794,0.4276732520555249,0.19485748074124523,0.07961850400903578,0.14282308722868217,0.2647617027834437,0.26955163276811966,0.31630006369777586,0.277156292138662,0.3330324856007863,0.42605808236369413
7:BQ.1.X,0.6885627943882067,0.6389878023308961,0.6244079438199962,0.47059352841892454,0.5026015906890285,0.26941248432441367,0.14282308722868214,0.09618595198768354,0.2772732582322003,0.2824640829291978,0.3391905919785828,0.23792839512454303,0.2939446127480038,0.3807829879033454
8:XBB.1.5.X+XBB.1.16.X,0.7232888406109254,0.6636702249413721,0.6702433708964214,0.5428312271203652,0.5331886466833581,0.3221625177239329,0.26476170278344374,0.2772732582322004,0.08506702252368943,0.21056727326707925,0.1433121824055246,0.13650573109870628,0.2660522506896965,0.3507137589707434
9:BN.1.X,0.739315982149862,0.669289196645952,0.7032359029284868,0.5436427580893259,0.5300307138964171,0.3065498949351388,0.2695516327681196,0.2824640829291978,0.21056727326707927,0.06877880420235608,0.28304094878357583,0.2662476439030051,0.30977677903713297,0.38505181142649264
10:EG.5.X+HV.1.X,0.8215568500868858,0.7723626602582419,0.7566606481161814,0.6384277666459639,0.6461407853977669,0.42293373888301844,0.31630006369777586,0.3391905919785828,0.14331218240552462,0.28304094878357583,0.10411178946401912,0.17406775048737974,0.28781949562877096,0.31261189236022335
11:HK.3.X+JD.1.X,0.7903602819053225,0.7404858269684959,0.7427109475779418,0.5949707084195887,0.613555069539546,0.3731592458271245,0.277156292138662,0.237928395124543,0.13650573109870628,0.2662476439030051,0.17406775048737974,0.06826209015604205,0.22426839833627027,0.2779066372059286
12:JN.1.X+JN.1.4.X,0.8439146428152541,0.7898235495748505,0.7903671570768843,0.619628666347328,0.6533130449651571,0.41991533631181094,0.3330324856007863,0.2939446127480038,0.26605225068969657,0.30977677903713297,0.28781949562877085,0.2242683983362703,0.10352849291351719,0.1601981118188428
13:KP.3.X+XEC.X,0.957944814274584,0.9341777398319001,0.9262533284675614,0.7764021316260744,0.812514777842374,0.5665741243115082,0.4260580823636942,0.3807829879033454,0.35071375897074347,0.3850518114264926,0.31261189236022335,0.2779066372059286,0.1601981118188428,0.07511891277032591
