Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Canada,2020-01-09,0.0
Canada,2020-01-10,0.0
Canada,2020-01-11,0.0
Canada,2020-01-12,0.0
Canada,2020-01-13,0.0
Canada,2020-01-14,0.0
Canada,2020-01-15,0.0
Canada,2020-01-16,0.0
Canada,2020-01-17,0.0
Canada,2020-01-18,0.0
Canada,2020-01-19,0.0
Canada,2020-01-20,0.0
Canada,2020-01-21,0.0
Canada,2020-01-22,0.0
Canada,2020-01-23,0.0
Canada,2020-01-24,0.0
Canada,2020-01-25,0.0
Canada,2020-01-26,0.0036798737
Canada,2020-01-27,0.0036798737
Canada,2020-01-28,0.0073597473
Canada,2020-01-29,0.0073597473
Canada,2020-01-30,0.011039621
Canada,2020-01-31,0.011039621
Canada,2020-02-01,0.014719495
Canada,2020-02-02,0.011039621
Canada,2020-02-03,0.011039621
Canada,2020-02-04,0.022079242
Canada,2020-02-05,0.025759116
Canada,2020-02-06,0.022079242
Canada,2020-02-07,0.025759116
Canada,2020-02-08,0.0300523
Canada,2020-02-09,0.0300523
Canada,2020-02-10,0.0300523
Canada,2020-02-11,0.012879558
Canada,2020-02-12,0.008586371
Canada,2020-02-13,0.008586371
Canada,2020-02-14,0.0073597473
Canada,2020-02-15,0.0
Canada,2020-02-16,0.0
Canada,2020-02-17,0.0036798737
Canada,2020-02-18,0.0036798737
Canada,2020-02-19,0.0036798737
Canada,2020-02-20,0.0036798737
Canada,2020-02-21,0.0036798737
Canada,2020-02-22,0.0073597473
Canada,2020-02-23,0.0073597473
Canada,2020-02-24,0.0036798737
Canada,2020-02-25,0.0073597473
Canada,2020-02-26,0.0073597473
Canada,2020-02-27,0.011039621
Canada,2020-02-28,0.014719495
Canada,2020-02-29,0.014719495
Canada,2020-03-01,0.022079242
Canada,2020-03-02,0.022079242
Canada,2020-03-03,0.05151823
Canada,2020-03-04,0.08463709
Canada,2020-03-05,0.08095722
Canada,2020-03-06,0.12143583
Canada,2020-03-07,0.11775596
Canada,2020-03-08,0.13247545
Canada,2020-03-09,0.1545547
Canada,2020-03-10,0.1398352
Canada,2020-03-11,0.16191444
Canada,2020-03-12,0.25759116
Canada,2020-03-13,0.21343267
Canada,2020-03-14,0.34222823
Canada,2020-03-15,0.4599842
Canada,2020-03-16,0.50046283
Canada,2020-03-17,0.68813634
Canada,2020-03-18,0.9089288
Canada,2020-03-19,1.1812395
Canada,2020-03-20,1.7148211
Canada,2020-03-21,2.6053505
Canada,2020-03-22,2.9254994
Canada,2020-03-23,4.08098
Canada,2020-03-24,4.3459306
Canada,2020-03-25,4.864793
Canada,2020-03-26,5.648606
Canada,2020-03-27,10.362524
Canada,2020-03-28,11.672559
Canada,2020-03-29,13.630252
Canada,2020-03-30,15.028604
Canada,2020-03-31,17.75539
Canada,2020-04-01,21.26231
Canada,2020-04-02,24.202528
Canada,2020-04-03,22.852015
Canada,2020-04-04,26.679083
Canada,2020-04-05,28.86493
Canada,2020-04-06,31.264206
Canada,2020-04-07,34.00571
Canada,2020-04-08,33.961555
Canada,2020-04-09,34.39578
Canada,2020-04-10,35.617496
Canada,2020-04-11,34.8852
Canada,2020-04-12,35.378304
Canada,2020-04-13,34.66073
Canada,2020-04-14,32.6368
Canada,2020-04-15,33.155663
Canada,2020-04-16,33.71868
Canada,2020-04-17,33.45005
Canada,2020-04-18,34.34426
Canada,2020-04-19,35.838287
Canada,2020-04-20,36.942253
Canada,2020-04-21,38.311165
Canada,2020-04-22,41.06371
Canada,2020-04-23,41.825443
Canada,2020-04-24,43.477707
Canada,2020-04-25,44.22472
Canada,2020-04-26,44.176884
Canada,2020-04-27,44.162163
Canada,2020-04-28,44.55591
Canada,2020-04-29,42.933086
Canada,2020-04-30,42.697575
Canada,2020-05-01,41.98
Canada,2020-05-02,40.942272
Canada,2020-05-03,41.115227
Canada,2020-05-04,41.810722
Canada,2020-05-05,46.28913
Canada,2020-05-06,45.15941
Canada,2020-05-07,44.232082
Canada,2020-05-08,43.779457
Canada,2020-05-09,42.999325
Canada,2020-05-10,41.847523
Canada,2020-05-11,40.43077
Canada,2020-05-12,34.491455
Canada,2020-05-13,33.884277
Canada,2020-05-14,33.51997
Canada,2020-05-15,32.31297
Canada,2020-05-16,31.521797
Canada,2020-05-17,30.101366
Canada,2020-05-18,30.038809
Canada,2020-05-19,30.009369
Canada,2020-05-20,29.777536
Canada,2020-05-21,29.280754
Canada,2020-05-22,28.875969
Canada,2020-05-23,28.83917
Canada,2020-05-24,28.949566
Canada,2020-05-25,28.544779
Canada,2020-05-26,28.323988
Canada,2020-05-27,28.110554
Canada,2020-05-28,27.727848
Canada,2020-05-29,27.216345
Canada,2020-05-30,26.450932
Canada,2020-05-31,25.530964
Canada,2020-06-01,24.17309
Canada,2020-06-02,22.99185
Canada,2020-06-03,22.057163
Canada,2020-06-04,21.207111
Canada,2020-06-05,20.482176
Canada,2020-06-06,19.186861
Canada,2020-06-07,18.093939
Canada,2020-06-08,17.909945
Canada,2020-06-09,17.48676
Canada,2020-06-10,16.702946
Canada,2020-06-11,15.613704
Canada,2020-06-12,14.86669
Canada,2020-06-13,13.9982395
Canada,2020-06-14,13.276984
Canada,2020-06-15,12.338616
Canada,2020-06-16,11.36345
Canada,2020-06-17,10.682673
Canada,2020-06-18,10.355165
Canada,2020-06-19,10.038695
Canada,2020-06-20,9.89886
Canada,2020-06-21,9.884141
Canada,2020-06-22,9.60079
Canada,2020-06-23,9.3836775
Canada,2020-06-24,9.162886
Canada,2020-06-25,9.184964
Canada,2020-06-26,8.791218
Canada,2020-06-27,8.839056
Canada,2020-06-28,7.9669266
Canada,2020-06-29,7.4075856
Canada,2020-06-30,7.0395985
Canada,2020-07-01,8.393792
Canada,2020-07-02,8.246596
Canada,2020-07-03,7.219912
Canada,2020-07-04,7.9080486
Canada,2020-07-05,8.44899
Canada,2020-07-06,8.404831
Canada,2020-07-07,8.408511
Canada,2020-07-08,7.4186254
Canada,2020-07-09,7.219912
Canada,2020-07-10,8.202438
Canada,2020-07-11,7.481183
Canada,2020-07-12,7.488543
Canada,2020-07-13,7.4701433
Canada,2020-07-14,7.5621405
Canada,2020-07-15,8.172999
Canada,2020-07-16,8.537307
Canada,2020-07-17,8.809617
Canada,2020-07-18,9.052489
Canada,2020-07-19,9.361598
Canada,2020-07-20,9.762705
