Entity,Code,Year,Population (historical)
Afghanistan,AFG,2023,41454709
Africa,,2023,1480767898
Africa (UN),,2023,1480770476
Akrotiri and Dhekelia,OWID_AKD,2008,15700
Albania,ALB,2023,2811615
Algeria,DZA,2023,46164169
American Samoa,ASM,2023,47499
Americas (UN),,2023,1041794207
Andorra,AND,2023,80825
Angola,AGO,2023,36749852
Anguilla,AIA,2023,14391
Antigua and Barbuda,ATG,2023,93293
Argentina,ARG,2023,45538356
Armenia,ARM,2023,2943346
Aruba,ABW,2023,107904
Asia,,2023,4776657166
Asia (UN),,2023,4778004427
Asia (excl. China and India),,2023,1839126400
Australia,AUS,2023,26451074
Austria,AUT,2023,9130386
Azerbaijan,AZE,2023,10318161
Bahamas,BHS,2023,399410
Bahrain,BHR,2023,1569625
Bangladesh,BGD,2023,171466945
Barbados,BRB,2023,282302
Belarus,BLR,2023,9115626
Belgium,BEL,2023,11712836
Belize,BLZ,2023,411073
Benin,BEN,2023,14110987
Bermuda,BMU,2023,64676
Bhutan,BTN,2023,786330
Bolivia,BOL,2023,12244104
Bonaire Sint Eustatius and Saba,BES,2023,29870
Bosnia and Herzegovina,BIH,2023,3185033
Botswana,BWA,2023,2480185
Brazil,BRA,2023,211140678
British Virgin Islands,VGB,2023,38954
Brunei,BRN,2023,458910
Bulgaria,BGR,2023,6795757
Burkina Faso,BFA,2023,23025738
Burundi,BDI,2023,13689406
Cambodia,KHM,2023,17423835
Cameroon,CMR,2023,28372638
Canada,CAN,2023,39299053
Cape Verde,CPV,2023,522290
Cayman Islands,CYM,2023,73009
Central African Republic,CAF,2023,5152373
Chad,TCD,2023,19319025
Chile,CHL,2023,19658791
China,CHN,2023,1422584878
Colombia,COL,2023,52321104
Comoros,COM,2023,850335
Congo,COG,2023,6182830
Cook Islands,COK,2023,14198
Costa Rica,CRI,2023,5105469
Cote d'Ivoire,CIV,2023,31165592
Croatia,HRV,2023,3895973
Cuba,CUB,2023,11019881
Curacao,CUW,2023,185383
Cyprus,CYP,2023,1344937
Czechia,CZE,2023,10809674
Czechoslovakia,OWID_CZS,1993,15650000
Democratic Republic of Congo,COD,2023,105789681
Denmark,DNK,2023,5948078
Djibouti,DJI,2023,1152912
Dominica,DMA,2023,66478
Dominican Republic,DOM,2023,11331213
East Germany,OWID_GDR,1990,16110000
East Timor,TLS,2023,1384234
Ecuador,ECU,2023,17980034
Egypt,EGY,2023,114535724
El Salvador,SLV,2023,6309575
Equatorial Guinea,GNQ,2023,1847501
Eritrea,ERI,2023,3470344
Estonia,EST,2023,1367143
Eswatini,SWZ,2023,1230457
Ethiopia,ETH,2023,128691654
Ethiopia (former),OWID_ERE,1993,57190000
Europe,,2023,746945644
Europe (UN),,2023,745602817
Europe (excl. Russia),,2023,609583296
European Union (27),,2023,450656232
Falkland Islands,FLK,2023,3460
Faroe Islands,FRO,2023,54689
Fiji,FJI,2023,924114
Finland,FIN,2023,5601133
France,FRA,2023,66438774
French Guiana,GUF,2023,303358
French Polynesia,PYF,2023,281075
Gabon,GAB,2023,2484739
Gambia,GMB,2023,2697797
Georgia,GEO,2023,3807436
Germany,DEU,2023,84548184
Ghana,GHA,2023,33787870
Gibraltar,GIB,2023,38442
Greece,GRC,2023,10242850
Greenland,GRL,2023,55895
Grenada,GRD,2023,117047
Guadeloupe,GLP,2023,376468
Guam,GUM,2023,166477
Guatemala,GTM,2023,18124791
Guernsey,GGY,2023,63995
Guinea,GIN,2023,14405424
Guinea-Bissau,GNB,2023,2153292
Guyana,GUY,2023,826310
Haiti,HTI,2023,11637352
High-income countries,,2023,1259127509
Honduras,HND,2023,10644802
Hong Kong,HKG,2023,7442686
Hungary,HUN,2023,9686418
Iceland,ISL,2023,387522
India,IND,2023,1438069540
Indonesia,IDN,2023,281190021
Iran,IRN,2023,90608663
Iraq,IRQ,2023,45074010
Ireland,IRL,2023,5196586
Isle of Man,IMN,2023,84139
Israel,ISR,2023,9256261
Italy,ITA,2023,59499408
Jamaica,JAM,2023,2839729
Japan,JPN,2023,124370893
Jersey,JEY,2023,103634
Jordan,JOR,2023,11439171
Kazakhstan,KAZ,2023,20330063
Kenya,KEN,2023,55338953
Kiribati,KIR,2023,132494
Kosovo,OWID_KOS,2023,1699985
Kuwait,KWT,2023,4838724
Kyrgyzstan,KGZ,2023,7073476
Laos,LAO,2023,7664955
Latin America and the Caribbean (UN),,2023,658891468
Latvia,LVA,2023,1882336
Lebanon,LBN,2023,5773446
Lesotho,LSO,2023,2311429
Liberia,LBR,2023,5492981
Libya,LBY,2023,7305611
Liechtenstein,LIE,2023,39574
Lithuania,LTU,2023,2854061
Low-income countries,,2023,736465179
Lower-middle-income countries,,2023,3253456628
Luxembourg,LUX,2023,665058
Macao,MAC,2023,713868
Madagascar,MDG,2023,31195885
Malawi,MWI,2023,21104426
Malaysia,MYS,2023,35126249
Maldives,MDV,2023,525955
Mali,MLI,2023,23769081
Malta,MLT,2023,532921
Marshall Islands,MHL,2023,38803
Martinique,MTQ,2023,345950
Mauritania,MRT,2023,5022397
Mauritius,MUS,2023,1273543
Mayotte,MYT,2023,315983
Mexico,MEX,2023,129739713
Micronesia (country),FSM,2023,112602
Moldova,MDA,2023,3067017
Monaco,MCO,2023,38929
Mongolia,MNG,2023,3431887
Montenegro,MNE,2023,633503
Montserrat,MSR,2023,4397
Morocco,MAR,2023,37712463
Mozambique,MOZ,2023,33635119
Myanmar,MMR,2023,54133741
Namibia,NAM,2023,2963048
Nauru,NRU,2023,11850
Nepal,NPL,2023,29694568
Netherlands,NLD,2023,18092473
Netherlands Antilles,ANT,2010,198009
New Caledonia,NCL,2023,289836
New Zealand,NZL,2023,5172791
Nicaragua,NIC,2023,6823569
Niger,NER,2023,26159817
Nigeria,NGA,2023,227882899
Niue,NIU,2023,1809
North America,,2023,608768595
North Korea,PRK,2023,26418146
North Macedonia,MKD,2023,1831749
Northern America (UN),,2023,382902690
Northern Mariana Islands,MNP,2023,45116
Norway,NOR,2023,5519123
Oceania,,2023,45562108
Oceania (UN),,2023,45562735
Oman,OMN,2023,5049214
Pakistan,PAK,2023,247504458
Palau,PLW,2023,17707
Palestine,PSE,2023,5409153
Panama,PAN,2023,4458719
Papua New Guinea,PNG,2023,10389589
Paraguay,PRY,2023,6844101
Peru,PER,2023,33845565
Philippines,PHL,2023,114891152
Poland,POL,2023,38762796
Portugal,PRT,2023,10430680
Puerto Rico,PRI,2023,3241974
Qatar,QAT,2023,2979038
Reunion,REU,2023,874837
Romania,ROU,2023,19118433
Russia,RUS,2023,145440454
Rwanda,RWA,2023,13954429
Saint Barthelemy,BLM,2023,11068
Saint Helena,SHN,2023,5281
Saint Kitts and Nevis,KNA,2023,46743
Saint Lucia,LCA,2023,179241
Saint Martin (French part),MAF,2023,27500
Saint Pierre and Miquelon,SPM,2023,5673
Saint Vincent and the Grenadines,VCT,2023,101286
Samoa,WSM,2023,216630
San Marino,SMR,2023,33705
Sao Tome and Principe,STP,2023,230834
Saudi Arabia,SAU,2023,33264239
Senegal,SEN,2023,18077527
Serbia,SRB,2023,6773156
Serbia and Montenegro,OWID_SRM,2006,9660702
Seychelles,SYC,2023,127910
Sierra Leone,SLE,2023,8460469
Singapore,SGP,2023,5789037
Sint Maarten (Dutch part),SXM,2023,42734
Slovakia,SVK,2023,5518008
Slovenia,SVN,2023,2118353
Solomon Islands,SLB,2023,799964
Somalia,SOM,2023,18358576
South Africa,ZAF,2023,63212339
South America,,2023,433023545
South America (excl. Brazil),,2023,224571280
South Korea,KOR,2023,51748695
South Sudan,SSD,2023,11483321
Spain,ESP,2023,47911535
Sri Lanka,LKA,2023,22971566
Sudan,SDN,2023,50042754
Suriname,SUR,2023,628840
Svalbard and Jan Mayen,SJM,2023,2400
Sweden,SWE,2023,10551441
Switzerland,CHE,2023,8870520
Syria,SYR,2023,23594567
Taiwan,TWN,2023,23317100
Tajikistan,TJK,2023,10389764
Tanzania,TZA,2023,66617556
Thailand,THA,2023,71702397
Togo,TGO,2023,9304289
Tokelau,TKL,2023,2390
Tonga,TON,2023,104565
Trinidad and Tobago,TTO,2023,1502887
Tunisia,TUN,2023,12200387
Turkey,TUR,2023,87270451
Turkmenistan,TKM,2023,7364394
Turks and Caicos Islands,TCA,2023,46171
Tuvalu,TUV,2023,9788
USSR,OWID_USS,1991,292663425
Uganda,UGA,2023,48656550
Ukraine,UKR,2023,37732781
United Arab Emirates,ARE,2023,10642052
United Kingdom,GBR,2023,68682907
United States,USA,2023,343477286
United States Virgin Islands,VIR,2023,85666
Upper-middle-income countries,,2023,2839923324
Uruguay,URY,2023,3388029
Uzbekistan,UZB,2023,35652264
Vanuatu,VUT,2023,320377
Vatican,VAT,2023,489
Venezuela,VEN,2023,28300815
Vietnam,VNM,2023,100352143
Wallis and Futuna,WLF,2023,11360
West Germany,OWID_GFR,1990,63250000
Western Sahara,ESH,2023,579688
World,OWID_WRL,2023,8091734853
Yemen,YEM,2023,39390750
Yemen Arab Republic,OWID_YAR,1990,9632000
Yemen People's Republic,OWID_YPR,1990,2681000
Yugoslavia,OWID_YGS,1992,23090000
Zambia,ZMB,2023,20723923
Zimbabwe,ZWE,2023,16340778
