Entity,Day,"COVID-19 doses (cumulative, per hundred)","People vaccinated (cumulative, per hundred)","People fully vaccinated (cumulative, per hundred)","Booster doses (cumulative, per hundred)"
Canada,2020-12-14,1.2879557e-05,1.2879557e-05,0.0,0.0
Canada,2020-12-15,0.0018701118,0.0018701118,0.0,0.0
Canada,2020-12-16,0.007797284,0.007797284,0.0,0.0
Canada,2020-12-17,0.018757788,0.018757788,0.0,0.0
Canada,2020-12-18,0.029100074,0.029100074,0.0,0.0
Canada,2020-12-19,0.03187433,0.03187433,0.0,0.0
Canada,2020-12-20,0.034094766,0.034094766,0.0,0.0
Canada,2020-12-21,0.054313093,0.054313093,0.0,0.0
Canada,2020-12-22,0.06923278,0.0692302,2.5759116e-06,0.0
Canada,2020-12-23,0.09162518,0.0916226,2.5759116e-06,0.0
Canada,2020-12-24,0.1179072,0.117904626,2.5759116e-06,0.0
Canada,2020-12-25,0.12577146,0.12576889,2.5759116e-06,0.0
Canada,2020-12-26,0.1258101,0.12580752,2.5759116e-06,0.0
Canada,2020-12-27,0.13511428,0.1351117,2.5759116e-06,0.0
Canada,2020-12-28,0.15218228,0.1521797,2.5759116e-06,0.0
Canada,2020-12-29,0.1857026,0.18569747,5.151823e-06,0.0
Canada,2020-12-30,0.20772408,0.20771892,5.151823e-06,0.0
Canada,2020-12-31,0.24772541,0.24772026,5.151823e-06,0.0
Canada,2021-01-01,0.2716582,0.2716505,7.727735e-06,0.0
Canada,2021-01-02,0.2836542,0.2836465,7.727735e-06,0.0
Canada,2021-01-03,0.29710305,0.29709533,7.727735e-06,0.0
Canada,2021-01-04,0.35796413,0.35795638,7.727735e-06,0.0
Canada,2021-01-05,0.40401885,0.40400338,1.545547e-05,0.0
Canada,2021-01-06,0.47643286,0.47527885,0.0011540083,0.0
Canada,2021-01-07,0.5721744,0.5685037,0.003670674,0.0
Canada,2021-01-08,0.6800844,0.6731346,0.0069498094,0.0
Canada,2021-01-09,0.77341485,0.76326317,0.0101516675,0.0
Canada,2021-01-10,0.8340312,0.8238255,0.0102057615,0.0
Canada,2021-01-11,0.9329076,0.92267346,0.010234096,0.0
Canada,2021-01-12,1.0133636,0.9991188,0.014244791,0.0
Canada,2021-01-13,1.0914421,1.0571773,0.034264777,0.0
Canada,2021-01-14,1.2013794,1.159204,0.0421754,0.0
Canada,2021-01-15,1.3288819,1.2788293,0.05005254,0.0
Canada,2021-01-16,1.4265888,1.3734734,0.053115297,0.0
Canada,2021-01-17,1.5002521,1.4438732,0.056378976,0.0
Canada,2021-01-18,1.6066346,1.5483599,0.058274847,0.0
Canada,2021-01-19,1.7081591,1.6440704,0.06408868,0.0
Canada,2021-01-20,1.8198841,1.7218887,0.0979954,0.0
Canada,2021-01-21,1.9309136,1.8179573,0.11295629,0.0
Canada,2021-01-22,2.0290327,1.8997219,0.12931076,0.0
Canada,2021-01-23,2.0998702,1.9592434,0.14062674,0.0
Canada,2021-01-24,2.137677,1.9901981,0.14747867,0.0
Canada,2021-01-25,2.198136,2.0294318,0.16870417,0.0
Canada,2021-01-26,2.2745943,2.084693,0.18990135,0.0
Canada,2021-01-27,2.334211,2.1196816,0.21452963,0.0
Canada,2021-01-28,2.3987353,2.158578,0.24015738,0.0
Canada,2021-01-29,2.454921,2.1904082,0.26451263,0.0
Canada,2021-01-30,2.4940104,2.2075562,0.28645423,0.0
Canada,2021-01-31,2.5073664,2.214318,0.2930486,0.0
Canada,2021-02-01,2.5545855,2.2496982,0.30488747,0.0
Canada,2021-02-02,2.5845923,2.2669747,0.31761762,0.0
Canada,2021-02-03,2.619854,2.2781208,0.3417333,0.0
Canada,2021-02-04,2.6703959,2.296286,0.37410992,0.0
Canada,2021-02-05,2.7312956,2.3228462,0.4084494,0.0
Canada,2021-02-06,2.787041,2.343111,0.44393003,0.0
Canada,2021-02-07,2.8227947,2.3587673,0.4640273,0.0
Canada,2021-02-08,2.878012,2.385755,0.4922567,0.0
Canada,2021-02-09,2.9471648,2.4101336,0.5370312,0.0
Canada,2021-02-10,3.0243545,2.4351585,0.58919597,0.0
Canada,2021-02-11,3.1113818,2.4678366,0.6435374,7.727735e-06
Canada,2021-02-12,3.208089,2.5041053,0.70397085,1.2879557e-05
Canada,2021-02-13,3.2959483,2.536866,0.7590696,1.2879557e-05
Canada,2021-02-14,3.3378558,2.5429785,0.7948645,1.2879557e-05
Canada,2021-02-15,3.3653383,2.5474348,0.8178905,1.2879557e-05
Canada,2021-02-16,3.432317,2.569526,0.8627758,1.545547e-05
Canada,2021-02-17,3.487707,2.582341,0.90535045,1.545547e-05
Canada,2021-02-18,3.558784,2.6024768,0.9562917,1.545547e-05
Canada,2021-02-19,3.689022,2.668987,1.0200146,2.0607293e-05
Canada,2021-02-20,3.8226657,2.7567713,1.0658633,3.091094e-05
Canada,2021-02-21,3.929177,2.8309731,1.0981703,3.348685e-05
Canada,2021-02-22,4.089535,2.9083304,1.1811688,3.606276e-05
Canada,2021-02-23,4.217604,2.987689,1.2298766,3.8638675e-05
Canada,2021-02-24,4.337691,3.0697138,1.2679384,3.8638675e-05
Canada,2021-02-25,4.4894996,3.177392,1.3120688,3.8638675e-05
Canada,2021-02-26,4.6658955,3.3205895,1.3452672,3.8638675e-05
Canada,2021-02-27,4.8266425,3.4604204,1.3661836,3.8638675e-05
Canada,2021-02-28,4.9451656,3.5641832,1.380941,4.1214586e-05
Canada,2021-03-01,5.0992665,3.6836462,1.4155793,4.1214586e-05
Canada,2021-03-02,5.294096,3.8508976,1.443157,4.1214586e-05
Canada,2021-03-03,5.488111,4.026572,1.4614975,4.1214586e-05
Canada,2021-03-04,5.6937046,4.218573,1.4750906,4.1214586e-05
Canada,2021-03-05,5.9171004,4.4327393,1.48432,4.1214586e-05
Canada,2021-03-06,6.107548,4.616806,1.4907006,4.1214586e-05
Canada,2021-03-07,6.2551427,4.7601323,1.4949689,4.1214586e-05
Canada,2021-03-08,6.4785233,4.9576173,1.5208645,4.1214586e-05
Canada,2021-03-09,6.6613355,5.1298065,1.5314825,4.6366407e-05
Canada,2021-03-10,6.86636,5.320821,1.5454928,4.6366407e-05
Canada,2021-03-11,7.121347,5.5626373,1.5586609,4.894232e-05
Canada,2021-03-12,7.411227,5.84344,1.5677384,4.894232e-05
Canada,2021-03-13,7.6855593,6.109944,1.575564,5.151823e-05
